,2020,2015-2019,change,smoothed change
2020-03-23,12.6329099430019,13.07565576314123,0.033860314783399126,0.03415860460204864
2020-03-24,12.466602153261558,12.996776725775808,0.04079277375464818,0.03744218449457056
2020-03-25,12.300294363521216,12.917897688410386,0.0478098944415134,0.040724054349710756
2020-03-26,12.170548567946375,12.841371054235221,0.05223916382881888,0.04398879427570889
2020-03-27,12.089866057282144,12.768001157830591,0.0531120801263828,0.04722165018603786
2020-03-28,11.996601604814444,12.707047843530592,0.055909621767722406,0.050408634366612325
2020-03-29,11.844761809635722,12.668476380728555,0.0650208080543827,0.053536381050152355
2020-03-30,11.67817348217783,12.634986368977675,0.07572725912463829,0.056592180848460474
2020-03-31,11.536525454545455,12.601374410774412,0.0845026043602427,0.05956450072053339
2020-04-01,11.475616363636362,12.567367676767677,0.08687191631621882,0.062443690527721946
2020-04-02,11.414707272727272,12.533360942760943,0.08925408556750991,0.06522248896557072
2020-04-03,11.365527572016461,12.497344032921811,0.09056455979156852,0.06789607968417508
2020-04-04,11.3487139329806,12.45578024691358,0.08887972427157265,0.07046203362389893
2020-04-05,11.35026779550635,12.412458059264083,0.08557452993486359,0.07292014066712896
2020-04-06,11.365963008791924,12.367782057961575,0.08100232074551672,0.07527200743845622
2020-04-07,11.3816582220775,12.323106056659068,0.07639695952083736,0.07752048677977914
2020-04-08,11.339170833333334,12.277675057077625,0.07643989756865877,0.07966900579234389
2020-04-09,11.2370875,12.231470719178082,0.08129710989038796,0.08172095835900564
2020-04-10,11.135004166666667,12.18526638127854,0.08619115756266904,0.08367949727503654
2020-04-11,11.032920833333334,12.139062043378996,0.09112246119946177,0.08554773511765622
2020-04-12,10.94216573816156,12.093153760445682,0.09517682856632304,0.08732903778139359
2020-04-13,10.851525069637884,12.047248467966574,0.09925282121540846,0.08902731552113992
2020-04-14,10.760884401114206,12.001343175487465,0.10335999531343076,0.09064726519369332
2020-04-15,10.718509237875288,11.956340415704389,0.103529268554719,0.09219460813402894
2020-04-16,10.74853233256351,11.912691454965358,0.09772427388074523,0.09367627264925954
2020-04-17,10.776449758454106,11.869741062801932,0.09210742665432226,0.09510022213956254
2020-04-18,10.786171021775544,11.830627135678391,0.08828408688099154,0.09647482894383545
2020-04-19,10.750526130653267,11.797762814070351,0.0887657007452396,0.09780819680873967
2020-04-20,10.714881239530987,11.764898492462311,0.08925000531063343,0.09910768276860106
2020-04-21,10.7329137283237,11.734284248554914,0.08533716237141042,0.1003797401273106
2020-04-22,10.807437935748462,11.713411688311687,0.07734499364239522,0.10162976348649361
2020-04-23,10.752701302931595,11.692855700325733,0.08040417341060224,0.10286157541126717
2020-04-24,10.66605635179153,11.655450705754614,0.08488683783584561,0.10407675425800811
2020-04-25,10.579411400651466,11.618045711183496,0.08939836667471912,0.10527465642265983
2020-04-26,10.4927664495114,11.580640716612377,0.09393903961983952,0.10645271988670013
2020-04-27,10.39351190168176,11.539351228978008,0.09929841847770238,0.10760679566031525
2020-04-28,10.270567485822307,11.490694555765597,0.10618392683069589,0.10873149730681299
2020-04-29,10.145803780718337,11.44143179584121,0.11324002434676173,0.10982063339634446
2020-04-30,10.021040075614367,11.392169035916824,0.12035714673646525,0.11086776115279025
